nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"SAMANTHA DE ESPAÑA","AV INDUSTRIA (DE LA) 32 - NAVE 30",28108,"POLIGONO INDUSTRIAL",+34914840097,NO DISPONIBLE,"info@samanthacatering.com","http://www.samanthacatering.com","SAMANTHA  VALLEJO-NAJERA DEROULEDE","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","CATERING",40.53412153,-3.65245488
"SAMSUNG DEUTSCHLAND GMBH SUCURSAL EN ESPAÑA","AV VEGA (DE LA) 1 - EDIFICIO VEGANOVA. BLOQUE 3,PLANTA 1",28100,"ARROYO DE LA VEGA",+34914840511,NO DISPONIBLE,"s.kim@samsung.com","http://www.samsungcnt.com","SOFIA KIM","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","COMERCIALES EXPORTADORAS DE TODA CLASE DE MERCANCIAS",40.52433701,-3.63873734
"SAMSUNG ELECTRONICS IBERIA, S.A.U","CR BARAJAS (DE) 32 - PARQUE EMPRESARIAL OMEGA, EDIFICIO C",28100,"CASCO URBANO",+34917143600,+34917143629,"an.gutierrez@samsung.com","http://www.samsung.com","ANTONIO GUTIERREZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","COMERCIO ELECTRONICO DE CONSUMO",40.53457785,-3.62091589
"SANDWICHES GONZALMAR","AV INDUSTRIA (DE LA) 50 - NAVE 8",28108,"POLIGONO INDUSTRIAL",+34916618166,+34916620931,"NO DISPONIBLE","http://www.sandwichspepi.es","JULIAN CERRADA CERRADA","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","ELABORACION DE SANDWICHES Y CANAPES",40.53381106,-3.65600520
"SANFIZ","CL GABRIEL GARCIA MARQUEZ (D 22",28108,"CASCO URBANO",916625625 / 916617544,+34916617593,"transporte@sanfiz.net","http://www.sanfiz.net","DESIREE FERNANDEZ","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","TRANSPORTE DE VIAJEROS POR CARRETERA",40.54089635,-3.65658593
"SANPOR DISTRIBUCIONES ALIMENTARIAS","CL CALABOZOS (DE LOS) 3 -NAVE C",28108,"POLIGONO INDUSTRIAL",+34647609386,NO DISPONIBLE,"sanporsl@gmail.com","http://www.sanpordistribucion.com","ESTHER DE LA FUENTE","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","DISTRIBUCIONES ALIMENTARIAS PARA HOSTELERIA",40.53027029,-3.65223089
"SAQQARA INGENIERIA","CL GRANJA (DE LA) 30",28108,"POLIGONO INDUSTRIAL",918050356 / 649365577/946035087,NO DISPONIBLE,"saqqaraingenieria@saqqaraingenieria.es","http://www.saqqaraingenieria.es","FERNANDO GONZALEZ/CRISTINA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","INGENIERIA",40.53131826,-3.65733509
"SARTORIUS SPAIN","AV INDUSTRIA (DE LA) 32 EDF. PAYMA",28108,"POLIGONO INDUSTRIAL",+34913586091,NO DISPONIBLE,"dataprotection@sartorius.com","http://www.sartorius.es","NO DISPONIBLE","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","PRODUCTOS DE LABORATORIO",40.53412153,-3.65245488
"SAUNIER-TEC","CL VALPORTILLO II (DE) 14 - BJ. 3",28108,"POLIGONO INDUSTRIAL",+34902121278,+34913274511,"j.parra@sauniertec.com","http://www.sauniertec.com","JAIME PARRA CORTEZAR","","CLIMATIZACION: CALEFACCION - AIRE ACONDICIONADO Y CHIMENEAS","REPARACIÓN Y MANTENIMIENTO DE APARATOS DE CLIMATIZACIÓN Y AGUA CALIENTE SANITARIA",40.53318462,-3.65565272
"SCAT MADRID","CL VALPORTILLO II (DE) 5 BAJO 2",28108,"POLIGONO INDUSTRIAL",916574044 / 916623285,+34916621432,"alcoscat@gmail.com","http://www.scat.es","JAVIER BLANCO","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","COOPERATIVA DEL TAXI",40.53343097,-3.65581250
"SCG SEGILCA, S.L.L.","AV VALDELAPARRA (DE) 33 - NAVE D",28108,"POLIGONO INDUSTRIAL",+34916622199,+34916623017,"segilca@segilca.com","http://www.segilca.com","OVIDIO CARRACEDO MACIAS","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","FABRICACIÓN DE CARPINTERIA METALICA",40.53861081,-3.64936412
"SCHEIDT & BACHAMANN IBERICA","AV VALDELAPARRA (DE) 39 - NAVE C",28100,"POLIGONO INDUSTRIAL",+34914841031,+34914841032,"mail@sb-iberica.com","http://www.scheidt-bachmann.es","RAQUEL DE DIEGO","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","SUMINISTRO MAQUINARIA CONTROL DE ACCESO A  APARCAMIENTOS",40.53965285,-3.64988822
"SCHINDLER, S.A.","AV EUROPA (DE) 22",28108,"PARQUE EMP. MORALEJA",+34916576000,+34916611195,"marketing_esp.es@schindler.com","http://www.schindler.es","NO DISPONIBLE","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","FABRICACION, MONTAJE Y MANTENIMIENTO DE ASCENSORES Y ESCALERAS MECANICAS SCHINDLER",40.51418540,-3.65822986
"SCHNEIDER ELECTRIC","CL VALGRANDE (DE) 6",28108,"POLIGONO INDUSTRIAL",+34914903300,NO DISPONIBLE,"ventas.eurotherm.es@schneider-electric.com","http://www.eurotherm.com","MARIA JOSE RIOS","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","INSTALACIONES ELECTRICAS EN GENERAL",40.53639748,-3.64916979
"SCHREIBER EUROPE","AV BRUSELAS (DE) 5 -2ª PLANTA",28100,"ARROYO DE LA VEGA",914900214/629934349,NO DISPONIBLE,"yolanda.ayuso@schreiberfoods.com","http://www.schreiberfoods.com","YOLANDA AYUSO","","MAYORISTAS","ALIMENTACION",40.53067721,-3.63274744
"SCIL ANMAL CARE","CL GRANJA (DE LA) 15 EDF. B",28108,"POLIGONO INDUSTRIAL",+34914902309,NO DISPONIBLE,"info-es@scilvet.com","http://www.scilvet.com","JORGE SANCHEZ","","VETERINARIOS. TIENDA DE ANIMALES","COMERCIO AL POR MAYOR DE EQUIPOS DE IMAGEN SECTOR VETERINARIO",40.52911402,-3.65827511
"SCYSE GLOBAL","AV ESPAÑA (DE) 17 -OFICINA 2-11",28100,"CASCO URBANO",915980854 - 932379068,NO DISPONIBLE,"sebastian.plada@scyse.com","http://www.scyse.com","SEBASTIAN PLADA","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","DISTRIBUCION DE PRODUCTOS ELECTRONICOS Y PAE",40.54813911,-3.63826729
"SDV ENERGIA E INFRAESTRUCTURA","CL CALENDULA (DE LA) 95 1º OFICINA 12, EDIFICIO O",28109,"MINI-PARC",+34914175642,NO DISPONIBLE,"oscar.velasco@sdvgroup.com","http://www.sdvgroup.com","OSCAR VELASCO","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","OBRAS DE INGENIERIA Y CONSTRUCCION",40.52790818,-3.64402309
"SECUOYA PRODUCCIONES","CL DUERO (DEL) 3 - LOCAL 2",28100,"CASCO URBANO",902506856   / 912296392/670413299,NO DISPONIBLE,"jcrivas@secuoyaproducciones.com","http://www.secuoyaproducciones.com","JUAN CARLOS RIVAS","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","EVENTOS Y MARKETING",40.54594032,-3.63890503
"SECURIBATH SOLUTIONS","AV DOCTOR SEVERO OCHOA (DEL) 35 - NAVE 5H",28100,"PARQUE EMP. CASABLANCA",+34911881530,NO DISPONIBLE,"rr.hh@securibath.com","http://www.securibath.com","CRISTINA TORRES","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","FABRICACION E INSTALACION DE CUARTOS DE BAÑO Y COCINA",40.54136786,-3.65322389
"SEFILTRA","CL REYES CATOLICOS (DE LOS) 6 NAVE 105",28108,"POLIGONO INDUSTRIAL",+34916616852,+34916617107,"administracion@sefiltra.com","http://www.sefiltra.com","ALFREDO ARANGUREN","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","PURIFICACION DE FLUIDOS",40.53652585,-3.65212849
"SEMAX ESPINOSA","AV DOCTOR SEVERO OCHOA (DEL) 33 - NAVE 3-C",28100,"PARQUE EMP. CASABLANCA",+34914841180,NO DISPONIBLE,"espinosasum@espinosasum.es","http://www.espinosasum.es","ALBERTO ESPINOSA","","MAYORISTAS","COMERCIO AL POR MAYOR DE FERRETERIA Y SEGURIDAD LABORAL",40.54143544,-3.65249238
"SERCOM BUZONEO PROFESIONAL","CL CALABOZOS (DE LOS) 9 1º PLANTA",28108,"POLIGONO INDUSTRIAL",917047925 / 910263867 / 685166810,NO DISPONIBLE,"direccion@sercompublicidad.com","http://www.sercompublicidad.com","NO DISPONIBLE","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","REPARTO DE PUBLICIDAD, BUZONEO, PARABRISEADO, CARTELERIA",40.52945193,-3.65261555
"SERCOM SOLUCIONES","CR FUENCARRAL (DE) 44 - EDIFICIO 3, 2ª PLANTA -OFICINA 29 y 30",28108,"POLIGONO INDUSTRIAL",+34916295983,NO DISPONIBLE,"contacto@sercomsoluciones.es","http://www.sercomsoluciones.es","MARTA VIRGINIA","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","VENTA PRODUCTOS TELEFONIA",40.51888227,-3.65470622
"SERGRAPH","CR FUENCARRAL (DE) 42 KM. 74",28108,"POLIGONO INDUSTRIAL",+34915010970,+34915016548,"sergraph@alsernet.es","NO DISPONIBLE","MAR","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS, EDICION Y ENCUADERNACION DE LIBROS, FOLLETOS, REVISTAS, PERIODICOS Y PUBLICACION DE TODA CLASE",40.51888227,-3.65470622
"SERLIAL","CL VALGRANDE (DE) 25 - NAVE 10",28108,"POLIGONO INDUSTRIAL",+34916540094,+34916514643,"info@serlial.es","http://www.serlial.com","AMPARO CACHO","","LIMPIEZAS: GENERAL Y URBANA. POCEROS. LAVADO DE VEHICULOS","SERVICIO DE POCERIA DESATRANCOS Y OBRAS DE POCERIA",40.53869315,-3.65348883
"SERVICIOS FINANCIEROS CARREFOUR","CL INTERI.ACCESO HIPER -S/N",28108,"CASCO URBANO",+34916634904,NO DISPONIBLE,"atencionclientessfc@carrefour.com","http://www.carrefour.es","NO DISPONIBLE","","SERVICIOS FINANCIEROS, CAJAS DE AHORRO Y BANCA","SERVICIOS FINANCIEROS",
"SERVICIOS PREPAGO INTEGRALE","AV INDUSTRIA (DE LA) 8 PLANTA 1, OFICINA 3A",28108,"POLIGONO INDUSTRIAL",+34912417221,NO DISPONIBLE,"adrian.garcia@spicard.net","http://www.tarjetaspark.es","ADRIAN GARCIA","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","TARJETAS PREPAGO",40.53525212,-3.64306522
"SERVIXMEDIA","CR FUENCARRAL (DE) 68",28108,"POLIGONO INDUSTRIAL",+34913088567,NO DISPONIBLE,"info@servixmedia.es","http://www.servixmedia.es","MARTA ARIAS","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS",40.51888227,-3.65470622
"SERYGRAF. S. COOP. MAD","CL JOSE ECHEGARAY (DE) 16 - EDIFICIO A 1 PLANTA 2 NAVE 3",28100,"PARQUE EMP. CASABLANCA",+34916615644,+34916615006,"serygrafsc@yahoo.es","http://www.serygraf.es","JAVIER NUÑEZ","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","SERIGRAFIA Y TAMPOGRAFIA",40.54221237,-3.65464876
"SETI CONSULTYN","CL GRANJA (DE LA) 15 EDF. B, 1º PLANTA",28108,"POLIGONO INDUSTRIAL",+34912939291,+34912939290,"contacto@setisl.com","http://www.seticonsultyn.es","LUIS TORRES GARCIA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA",40.52911402,-3.65827511
"SGEL","AV VALDELAPARRA (DE) 29",28108,"POLIGONO INDUSTRIAL",+34916576990,+34916576928,"gutierrez.d@sgel.es/info@sgel.es","http://www.sgel.es","DANIEL GUTIERREZ","","EDITORIALES","DISTRIBUCIÓN Y LOGISTICA",40.53899271,-3.64735139
"SGI TELECOM","AV INDUSTRIA (DE LA) 32 - EDF PAYMA",28108,"POLIGONO INDUSTRIAL",+34916572971,+34916572973,"recepcion@sgitelecom.net","http://www.sgitelecom.net","MAITE ARNANZ GARCIA","","CENTRO DE NEGOCIOS. ESPACIOS EN ALQUILER","ALQUILER DE INMUEBLE",40.53412153,-3.65245488
"SHEFFA","CR FUENCARRAL (DE) 44",28108,"POLIGONO INDUSTRIAL",+34666976914,NO DISPONIBLE,"sheffa.formacion@gmail.com","NO DISPONIBLE","ELSA LUCIA GONZALEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA",40.51888227,-3.65470622
"SIAISA","CL GRANJA (DE LA) 30",28108,"POLIGONO INDUSTRIAL",913605140 / 913605147,NO DISPONIBLE,"mqh@siaisa.es","http://www.siaisa.com","NATALIA LOPEZ","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","DISTRIBUCION Y VENTA DE MAQUINAS-HERRAMIENTA",40.53131826,-3.65733509
"SICE","CL SEPULVEDA (DE) 6",28108,"POLIGONO INDUSTRIAL",+34916232200,+34916232201,"bdediego@sice.com","http://www.sice.com","BEATRIZ DE DIEGO","","OBRAS PUBLICAS. SEÑALIZACION DE CARRETERAS Y FERROVIARIAS","SISTEMAS DE CONTROL DE TRAFICO",40.52674742,-3.65561731
"SICE, TCNOLOGIA Y SISTEMAS","CL GRANJA (DE LA) 29",28108,"POLIGONO INDUSTRIAL",+34916232200,NO DISPONIBLE,"bdediego@sice.com","http://www.sice.com","BEATRIZ DE DIEGO","","OBRAS PUBLICAS. SEÑALIZACION DE CARRETERAS Y FERROVIARIAS","TECNOLOGIA EN EL CAMPO DE LOS SISTEMAS INTELIGENTES PARA EL TRANSPORTE Y EN EL DE  SISTEMAS DE CONTROL  MEDIOAMBIENTAL",40.53120682,-3.65760869
"SICOSOFT","AV VALDELAPARRA (DE) 27 - BLOQUE 2 OFICINA 15",28100,"POLIGONO INDUSTRIAL",+34914840120,+34916629112,"sicosoft@sicosoft.es","NO DISPONIBLE","Mª TERESA CRIADO","","INFORMATICA","INTEGRACION DE SISTEMAS DE HARDWARE Y SOFTWARE",40.53889230,-3.64696818
"SIDSA","CL VALPORTILLO II (DE) 10",28108,"POLIGONO INDUSTRIAL",+34916615994,+34916616432,"madrid@sid-sa.com","http://www.sidsa.org","CARLOS PARRO","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","SUMINISTRO TUBERIAS ACERO",40.53318462,-3.65565272
"SIERRA Y MADRID","PS CHOPERA (DE LA) 74 PLANTA, 4- 1ª ESCALERA-2",28100,"CASCO URBANO",+34629566287,NO DISPONIBLE,"gemma@sierraymadrid.com","http://www.sierraymadrid.com","GEMMA SIERRA","","INFORMATICA","DISEÑO GRAFICO Y WEB",40.54285651,-3.64239795
"SIG COMBIBLOC, S.A.","CL VALPORTILLO II (DE) 14 - 2ª planta",28108,"POLIGONO INDUSTRIAL",+34914841330,+34916617554," cristina.benedet@sig.biz","http://www.sig.biz","FERNANDO DEL CASTILLO VILLANUEVA","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","SUMINISTRA MATERIAL DE ENVASADO Y MAQUINAS DE LLENADO DE BOTELLAS",40.53318462,-3.65565272
"SIKA","CL ARAGONESES (DE LOS) 17",28108,"POLIGONO INDUSTRIAL",+34914841001,+34916610361,"info@es.sika.com","http://www.sika.es","RECEPCION","","SECTOR QUIMICO","FABRICACION DE PRODUCTOS QUIMICOS PARA CONSTRUCCION Y ADHESIVOS INDUSTRIALES",40.52170385,-3.66292010
"SIKA S.A.U","CR FUENCARRAL (DE) 72",28108,"POLIGONO INDUSTRIAL",+34916572375,+34916621938,"hernandez.jorge@es.sika.com","http://www.sika.com","JORGE HERNANDEZ","","SECTOR QUIMICO","FABRICACIÓN QUÍMICOS DE CONSTRUCCIÓN",40.51888227,-3.65470622
"SIPAY PLUS","CL SAN RAFAEL (DE) 1 - PORTAL 2, 2ºC",28108,"POLIGONO INDUSTRIAL",+34914841028,NO DISPONIBLE,"rrhh@sipay.es","http://www.sipay.es","PABLO GONZALEZ","","INFORMATICA","SOLUCIONES INFORMATICAS DE MEDIOS DE PAGO",40.52428139,-3.65890105
"SIXSERVIX OMEGA","CL GRANJA (DE LA) 15",28108,"POLIGONO INDUSTRIAL",+34916618210,NO DISPONIBLE,"soporte.informatica@varma.com","http://www.sixservix.com","FERNANDO PELLUS","","INFORMATICA","SERVICIOS INOFRMATICOS",40.52911402,-3.65827511
"SKIDATA","CL GRANJA (DE LA) 30",28108,"POLIGONO INDUSTRIAL",+34902422060,NO DISPONIBLE,"info@skidata.es","http://www.skidata.es","IVAN BLANCO","","INFORMATICA","SOLUCIONES DE ACCESOS DE PERSONAS Y VEHICULOS",40.53131826,-3.65733509
"SKYDWELLER","CR FUENCARRAL (DE) 5",28108,"CAMPUS EMPRESARIAL ARBEA",+34919903022,NO DISPONIBLE,"victoria.radonic@sydweller.aerovictoria.radonic@sydweller.aero","NO DISPONIBLE","VICTORIA RADONIC","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","DESARROLLO Y EMBALAJE DE NAVES NO TRIPULADAS",40.51888227,-3.65470622
"SMART WASH 34","AV VALDELAPARRA (DE) 3",28100,"POLIGONO INDUSTRIAL",911479232 / 637242315,NO DISPONIBLE,"smartcarwash34@gmail.com","http://www.lavaderoalcobendas.com","NO DISPONIBLE","","LAVADO Y ENGRASE DE VEHICULOS","LAVADO DE VEHICULOS",40.53737784,-3.64234265
"SOFECOM","CL GRANJA (DE LA) 82",28108,"POLIGONO INDUSTRIAL",+34915647005,+34915901682,"compras@sofecom.com","http://www.sofecon.com","TANGUY BRABANT","","INFORMATICA","EQUIPOS INFORMATICOS",40.53461370,-3.65673098
"SOLDACENTRO","AV INDUSTRIA (DE LA) 32 - NAVE 23",28108,"POLIGONO INDUSTRIAL",916619159 / 639119725,+34916614931,"info@soldacentro.com","http://www.soldacentro.com","CARLOS QUIROS","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","COMERCIALIZACION DE PRODUCTOS DE SOLDADURA Y DE TRANSFORMACION METALICA",40.53412153,-3.65245488
"SOL-OX","CL VALGRANDE (DE) 29 - ACCESO E",28108,"POLIGONO INDUSTRIAL",+34916613159,+34916611336,"solox@telefonica.net","NO DISPONIBLE","JOSE MARIA BERMEJO SANCHEZ","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","REPARACION Y VENTA DE PRODUCTOS DE SOLDADURA Y OXICORTE",40.53898396,-3.65466685
"SOLUTEX G.C.","CR BARAJAS (DE) 24 3º PLANTA",28100,"CASCO URBANO",+34918060477,NO DISPONIBLE,"solutex@solutex.info","http://www.solutex.es","IGNACIO PELAEZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","PURIFICACIÓN DE ACEITES DE ALGAS",40.53457785,-3.62091589
"SOMISAL","AV VALDELAPARRA (DE) 3 - 1ª PLANTA",28108,"POLIGONO INDUSTRIAL",+34916617599,+34916612391,"d.financiera@gruposomisal.com","NO DISPONIBLE","FRANCISCO DOMINGUEZ","","INMOBILIARIAS Y CONSTRUCTORAS","ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA",40.53737784,-3.64234265
"SOTAN","CL RAMON Y CAJAL (DE) 5 - OFICINA 13",28100,"CENTRO DE EMPRESAS",+34670437678,NO DISPONIBLE,"eochoa@sotam.es","http://https://sotam.es/","EDUARDO OCHOA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA FINANCIERA",40.54250148,-3.65225970
"SPALY-BIOQUIMICA","AV INDUSTRIA (DE LA) 30",28108,"POLIGONO INDUSTRIAL",+34916635000,+34916233511,"santander_jorge@lilly.com","http://www.lilly.es","ALEJANDRO DE SIMON","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","FARMACEUTICA",40.53425345,-3.65158382
"SPUTNIK CLIMBING CENTER","CL GRANJA (DE LA) 100",28108,"POLIGONO INDUSTRIAL",+34655725267,NO DISPONIBLE,"info@sputnikclimbing.com","http:///www.sputnikclimbing.com/","DANI / FERNANDO","","GIMNASIOS, DANZA Y OTRAS INSTALACIONES DEPORTIVAS","CENTRO DE ESCALADA, ESCUELA DE FORMACION, CAFETERIA-RESTAURANTE, FISIOTERAPIA",40.53609958,-3.65676806
"STERIS","CL CALENDULA (DE LA) 95 - MINIPARC II",28109,"MINI-PARC",+34916585920,+34916250115,"lorena_soto@steris.com","http://www.steris.com","ALBERTO CASTILLEJO","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","COMERCIO DE EQUIPAMIENTO HOSPITALARIO",40.52792964,-3.64446628
"STRAUMANN","CL ANABEL SEGURA (DE) 16 EDF. VEGA NORTE 3 PLANTA BAJA",28100,"ARROYO DE LA VEGA",+34916308214,+34913449517,"info.es@straumann.com","http://www.strauman.es","MARIA MARIN","","SERVICIOS MEDICOS","PRODUCCION Y COMERCIALIZACION DE IMPLANTES DENTALES",40.53274067,-3.62778864
"STRUCTURALIA","AV VEGA (DE LA) 15 - EDIF. 3 PLANTA 4",28108,"ARROYO DE LA VEGA",914904200 / 619218227,+34914904210,"nuria.carrera@structuralia.com","http://www.structuralia.com","NURIA CARRERA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","FORMACIÓN Y CONSULTORÍA",40.52387752,-3.63900178
"STT","CL ARAGONESES (DE LOS) 2 - ACCESO 1",28108,"POLIGONO INDUSTRIAL",+34915199612,+34914132229,"imarin@sttsa.es","http://www.sttsa.es","VENANCIO GUILLAMET PUGERNAV","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","PERSONALIZACION Y MANIPULADO TARJETAS PLASTICAS",40.52357421,-3.66093000
"SUAN FARMA","CL EINSTEIN (DE) 8 EDIFICIO",28108,"POLIGONO INDUSTRIAL",+34913446890,NO DISPONIBLE,"elisadoncel@suanfarma.com","http://www.suanfarma.com","ELISA DONCEL MARTOS","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","DISTRIBUIDOR DE PRINCIPIOS ACTIVOS FARMACEUTICOS",40.53493858,-3.65383497
"SUCURSAL URBANA","TR SAN ANDRES (DE) 5 -LOCAL 1",28100,"CASCO URBANO",608286647/633748821,NO DISPONIBLE,"hola@sucursalurbana.es/alejandra@sucursalurbana.es","http://www.sucursalurbana.es","ALEJANDRA CALABRESE/JULIO MUÑOZ","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","NO DISPONIBLE",40.54201239,-3.63374009
"SULLEN TRADE","AV INDUSTRIA (DE LA) 37 PLANTA 2, OFICINA 1",28108,"POLIGONO INDUSTRIAL",+34916611780,NO DISPONIBLE,"eliseo@gruposullen.com","http://www.gruposullen.com","ARTURO BARRIOS","","CONFECCION A MEDIDA, SASTRERIA Y ARREGLOS DE ROPA","FABRICACION PRENDAS DE PIEL",40.53389907,-3.65273873
"SUN OIL ESPAÑA","CR FUENCARRAL (DE) 78 - KM 14,500",28108,"POLIGONO INDUSTRIAL",916610267 / 619491569,+34916619595,"suniso@sunoilespana.com","http://www.sunoilespana.com","MYRIAM GOMEZ MARTIN","","REPUESTOS Y ACCESORIOS  DE VEHICULOS","COMERCIALIZACION DE LUBRICANTES",40.51888227,-3.65470622
"SUVECA","CL REYES CATOLICOS (DE LOS) 14",28108,"POLIGONO INDUSTRIAL",+34916621063,NO DISPONIBLE,"espiroducto@suveca.es","http://www.suveca.net","RAMON REVUELTA","","CLIMATIZACION: CALEFACCION - AIRE ACONDICIONADO Y CHIMENEAS","FABRICACION CONDUCTOS CHAPA",40.53778405,-3.65506852
"SYNLAB DIGANOSTICOS GLOBALES","CL VALGRANDE (DE) 8",28108,"POLIGONO INDUSTRIAL",913149629/933636066(CENTRAL)917823620,NO DISPONIBLE,"atencion.cliente@synlab.es","http://www.synlab.es","JOSE LUIS PEREZ ARCAS","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","LABORATORIOS DE ANALISIS CLINICOS Y BIOLOGICOS",40.53707501,-3.65013897
"T.D.I.","CL JOSE ECHEGARAY (DE) 8 EDIF. B-3. LOCAL 1-3",28100,"PARQUE EMP. CASABLANCA",+34916624473,+34902102459,"ventas@tdi.es","http://www.tdi.es","JORGE PASTOR SANTOS","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","VENTA DE APARATOS DE INVESTIGACION",40.54230509,-3.65435273
"T.F. ARTES GRAFICAS","CL ARAGONESES (DE LOS) 2 - ACCESO 11",28108,"POLIGONO INDUSTRIAL",+34914841870,+34916610082,"tfonline@tfonline.es","http://www.tfartesgraficas.com","ESTHER COBO DE GUZMAN","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS",40.52357421,-3.66093000
"TABLEROS MARTINEZ, C.B.","CL SEPULVEDA (DE) 6",28108,"POLIGONO INDUSTRIAL",+34916616467,+34916616468,"mail@tablerosmartinezcb.e.telefonica.net / tmartinez@aeroflat.es","http://www.tablerosmartinez-cb.com","DIEGO MARTINEZ","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","DISTRIBUCION DE MADERAS",40.52674742,-3.65561731
"TACO DIGITALES","AV DOCTOR SEVERO OCHOA (DEL) 38 - 2º PLANTA",28100,"PARQUE EMP. CASABLANCA",+34916623222,NO DISPONIBLE,"administracion@tacodigitales.com","NO DISPONIBLE","JORGE ALBERICH","","MAYORISTAS","COMERCIO AL POR MAYOR DE REPUESTOS Y AUTOMOCIÓN",40.54091291,-3.65506360
"TAI EDITORIAL","CR FUENCARRAL (DE) 68 - KM. 14,5",28108,"POLIGONO INDUSTRIAL",+34916616102,+34916612928,"correo@taieditorial.es","http://www.taieditorial.es","MARTA ARIAS","","EDITORIALES","EDITORIAL DE REVISTAS",40.51888227,-3.65470622
"TALENTO MOTOR","CL FRANCISCO GERVAS (DE) 1",28108,"POLIGONO INDUSTRIAL",+34916572831,NO DISPONIBLE,"alberto.magro@takai.es","NO DISPONIBLE","ALBERTO MAGRO","","VENTA DE VEHICULOS A MOTOR. CONCESIONARIO OFICIAL","CONCESIONARIO OFICIAL KIA",40.53042958,-3.65080103
